'	っ
-	ー
;	あん
[	「
]	」
`,	‥
`/	・
`;	;
`a	ぁ
`b	←
`ca	ヵ
`ce	ヶ
`e	ぇ
`f	→
`i	ぃ
`n	↓
`o	ぉ
`p	↑
`u	ぅ
`va	ゃ
`vh	ゅ
`vn	ょ
`vo	ょ
`vs	ゃ
`vu	ゅ
`wa	ゎ
`we	ゑ
`wi	ゐ
`{	『
`}	』
a	あ
b'	ばい
b,	ぼう
b.	べい
b;	ばん
ba	ば
bb'	びゃっ
bb,	びょっ
bb.	びぇっ
bb;	ばつ
bba	ばっ
bbe	べっ
bbi	びっ
bbj	べつ
bbk	ぶつ
bbo	ぼっ
bbp	びゅっ
bbq	ぼつ
bbu	ぶっ
bbx	びつ
bby	びぃっ
be	べ
bi	び
bj	べん
bk	ぶん
bo	ぼ
bp	ぶう
bq	ぼん
bu	ぶ
bv'	びゃい
bv,	びょう
bv.	びぇい
bv;	びゃん
bva	びゃ
bve	びぇ
bvi	びぃ
bvj	びぇん
bvk	びゅん
bvm	びゅく
bvo	びょ
bvp	びゅう
bvq	びょん
bvu	びゅ
bvv	びょく
bvw	びゅつ
bvx	びぃん
bvy	びゅい
bvz	びゃく
bw	びゅう
bx	びん
by	ぶい
bz	びょう
c'	かい
c,	こう
c.	けい
c;	かん
ca	か
cc	きゅう
ce	け
cf'	きゃっ
cf,	きょっ
cf.	きぇっ
cf;	かつ
cfa	かっ
cfe	けっ
cfi	きっ
cfj	けつ
cfk	くつ
cfo	こっ
cfp	きゅっ
cfq	こつ
cfu	くっ
cfx	きつ
cfy	きぃっ
cg'	きゃい
cg,	きょう
cg.	きぇい
cg;	きゃん
cga	きゃ
cgc	きゅつ
cge	きぇ
cgg	きゅく
cgi	きぃ
cgj	きぇん
cgk	きゅん
cgl	きゃく
cgo	きょ
cgp	きゅう
cgq	きょん
cgr	きょく
cgu	きゅ
cgx	きぃん
cgy	きゅい
ci	き
cj	けん
ck	くん
cl	きょう
co	こ
cp	くう
cq	こん
cu	く
cx	きん
cy	くい
d'	だい
d,	どう
d.	でい
d;	だん
da	だ
dd'	でゃっ
dd,	でょっ
dd.	でぇっ
dd;	だつ
dda	だっ
dde	でっ
ddi	ぢっ
ddj	でつ
ddk	づつ
ddo	どっ
ddp	でゅっ
ddq	どつ
ddu	づっ
ddx	ぢつ
ddy	でぃっ
de	で
dh'	でゃい
dh,	でょう
dh.	でぇい
dh;	でゃん
dha	でゃ
dhe	でぇ
dhi	でぃ
dhj	でぇん
dhk	でゅん
dho	でょ
dhp	でゅう
dhq	でょん
dhu	でゅ
dhx	でぃん
dhy	でゅい
di	ぢ
dj	でん
dk	づん
dn'	ぢゃい
dn,	ぢょう
dn.	ぢぇい
dn;	ぢゃん
dna	ぢゃ
dne	ぢぇ
dnh	ぢゅく
dni	ぢぃ
dnj	ぢぇん
dnk	ぢゅん
dnn	ぢょく
dno	ぢょ
dnp	ぢゅう
dnq	ぢょん
dns	ぢゃく
dnt	ぢゅつ
dnu	ぢゅ
dnx	ぢぃん
dny	ぢゅい
do	ど
dp	づう
dq	どん
du	づ
dx	ぢん
dy	づい
e	え
f'	ぱい
f,	ぽう
f.	ぺい
f;	ぱん
fa	ぱ
fc	ぴゅう
fe	ぺ
ff'	ぴゃっ
ff,	ぴょっ
ff.	ぴぇっ
ff;	ぱつ
ffa	ぱっ
ffe	ぺっ
ffi	ぴっ
ffj	ぺつ
ffk	ぷつ
ffo	ぽっ
ffp	ぴゅっ
ffq	ぽつ
ffu	ぷっ
ffx	ぴつ
ffy	ぴぃっ
fi	ぴ
fj	ぺん
fk	ぷん
fl	ぴょう
fo	ぽ
fp	ぷう
fq	ぽん
fr'	ぴゃい
fr,	ぴょう
fr.	ぴぇい
fr;	ぴゃん
fra	ぴゃ
frc	ぴゅつ
fre	ぴぇ
frg	ぴゅく
fri	ぴぃ
frj	ぴぇん
frk	ぴゅん
frl	ぴゃく
fro	ぴょ
frp	ぴゅう
frq	ぴょん
frr	ぴょく
fru	ぴゅ
frx	ぴぃん
fry	ぴゅい
fu	ぷ
fx	ぴん
fy	ぷい
g'	がい
g,	ごう
g.	げい
g;	がん
ga	が
gc	ぎゅう
ge	げ
gf'	ぎゃっ
gf,	ぎょっ
gf.	ぎぇっ
gf;	がつ
gfa	がっ
gfe	げっ
gfi	ぎっ
